,Name,Location,City,P.O Box,Phone,Mobile,Company Page URL,Logo URL
0,"Miyabi Sushi & Bento
","Next to Four Points by Sheraton, Behind UAE Exchange, Sh Zayed Road",Dubai,391073,"04-3868444,800MIYABICall",050-2563842Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
1,"101 Parathas
","Near Grand Hotel, Abu Shagara",Sharjah,357347,06-5538106Call,06-5538136Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
2,"18 Buffet
",Al Garhoud,Dubai,644817,04-2999115Call,050-5284843Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
3,"18 Degree
","Hyatt Capital Gate, Al Arabi Street",Abu Dhabi,16935,02-5961440Call,056-2402323Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
4,"24h.ae Online Food Delivery Services
",Al Barsha,Dubai,6744,04-4572307Call,800 2526667Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
5,"4 Guys
",Saadiyat Island,Dubai,18009,04-4357377Call,050-3799440Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
6,"55 & 5th Restaurant
","Boutique 11, Tiffany Tower, JLT",Abu Dhabi,56484,02-4988008Call,05-5350075Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
7,"77 Veggie Boutique
","Dhow Palace Hotel, Bur Dubai",Dubai,63788,04-4224116Call,"050-5712126, 04-2664Call",//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
8,"800 Pizza
",Sanaiya,Dubai,82122,80074992Call,055-3587798Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
9,"Aangan Restaurant
","Next to Al Shook Recording, Al Sham",Dubai,37471,04-3599992Call,050-6732325Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
10,"Abdul Aziz Restaurant
","US Accommodation, JAFZA",Al Ain,456,03-7211335Call,055-3735435Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
11,"Abdulla Zaid Restaurant
","Al Rafaa Rd, Bur Dubai",Ras Al Khaimah,8090,07-2666693Call,050-3444874Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
12,"Abdullas Food Court
",Jumeirah,Jebel Ali,283923,04-8833115Call,050-6424016Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
13,"Abeer Cafeteria
","Al Butin Plaza, Al Maktoum St, Deira",Dubai,55204,04-3557715Call,052-4507925Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
14,"Abshar Iranian Restaurant
",Jamal Abdel Naser St,Dubai,40179,04-3940950Call,050-9781207Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
15,"Abshar Restaurant LLC
","1st Floor, M-36, Abu Hamdan Building, Near Car Taxi, Musaffah",Dubai,124145,04-2230555Call,055-4469185Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
16,"Abu Fadi Restaurant
","Sona Bazaar, Park Rd",Sharjah,70112,06-5535702Call,055-5591417Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
17,"Abu Hamdan Catering Services LLC
",TCA,Abu Dhabi,4862,02-5575757Call,050-1596211Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
18,"Abu Khalid Restaurant
",Istiqlal St,Fujairah,2,09-2224592Call,050-2589257Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
19,"Abu Nasar Restaurant
",Dubai Investment Park - 2,Abu Dhabi,2907,02-6452229Call,055-9544426Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
20,"Abu Shakra Restaurant
",Khalifa,Abu Dhabi,25361,02-6313400Call,056-6966631Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
21,"Accuro Specialist Support Services
",Muroor Rd,Dubai,30459,04-8071900Call,055-9501917Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
22,"Afamia Al Shaam
","Near Mubarak Centre, Al Nabbah Area",Abu Dhabi,12242,02-5526630Call,050-2082898Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
23,"Afdal Restaurant and Grill
","Al Khail Mall, Al Quoz Indl Area",Abu Dhabi,19492,02-4493916Call,056-8608155Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
24,"Afghan Darbar Restaurant LLC
","Near NMC Hospital, Amman Rd, Al Nahda 2",Sharjah,71955,06-5638761Call,055-7702400Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
25,"Agemono Restaurant
",Muroor Rd,Dubai,4612,04-3397925Call,055-2778844Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
26,"Ahl Almandi Restaurant
",Hamdan St,Dubai,70803,04-2574448Call,050-6789325Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
27,"Ahmed Al Arab Restaurant
",Opp Ajman Traffic Police Dept,Abu Dhabi,51845,02-4431848Call,050-4795683Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
28,"Airlines Restaurant
",Jamal Abdul Nasir Street,Abu Dhabi,6006,02-6335214Call,052-8221486Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
29,"Ajman Spring Restaurant & Grills
","Bhnd Joy Alukkas, Rolla",Ajman,505,06-7462277Call,052-1131120Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
30,"Akher Saa Restaurant
","Fathima Hamdan Bin Kadim Bldg, Al Qasimiya St, Abu Shaghara",Sharjah,4803,06-5501999Call,052-9132220Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
31,"Al Abraj Restaurant
","Near Mega Mall, Abu Shagara",Sharjah,37137,06-5615335Call,052-2125599Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
32,"Al Afghani Al Khas Lil Kabab Restaurant LLC
","Next KFC, Airport Rd",Sharjah,1199,06-5506674Call,050-5042635Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
33,"Al Afrah Al Thahabya Restaurant LLC
","Shop 2 & 3, Al Qassimiya",Sharjah,3232,06-5512323Call,050-2090067Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
34,"Al Ain Restaurant
",Al Quoz Indl Area,Abu Dhabi,18977,02-6422507Call,052-6795353Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
